Meeting Title,URL,Congress,Chamber,Meeting Date,Committee
"U.S. Role in Global COVID-19 Vaccine Equity",https://www.congress.gov/event/117th-congress/house-event/114232,117th,"House of Representatives",2021-11-17T15:30:00Z,"House Appropriations"
"United States Global COVID-19 Response: Actions Taken & Future Needs",https://www.congress.gov/event/117th-congress/house-event/114161,117th,"House of Representatives",2021-10-27T14:00:00Z,"House Appropriations"
"Workforce Development and the Department of Defense",https://www.congress.gov/event/117th-congress/house-event/114154,117th,"House of Representatives",2021-10-26T18:00:00Z,"House Appropriations"
"Update on VA’s Electronic Health Record Modernization Implementation",https://www.congress.gov/event/117th-congress/house-event/114139,117th,"House of Representatives",2021-10-21T14:00:00Z,"House Appropriations"
"FY2022 Energy and Water Development, and Related Agencies, and Transportation, Housing and Urban Development, and Related Agencies Appropriations Bills",https://www.congress.gov/event/117th-congress/house-event/113895,117th,"House of Representatives",2021-07-16T13:00:00Z,"House Appropriations"
"FY2022 Labor, Health and Human Services, Education, and Related Agencies and Commerce, Justice, Science, and Related Agencies Subcommittee Appropriations Bills",https://www.congress.gov/event/117th-congress/house-event/113908,117th,"House of Representatives",2021-07-15T14:00:00Z,"House Appropriations"
"FY2022 Homeland Security and Defense Subcommittee Appropriations Bills",https://www.congress.gov/event/117th-congress/house-event/112896,117th,"House of Representatives",2021-07-13T14:00:00Z,"House Appropriations"
"Fiscal Year 2022 Transportation, Housing and Urban Development and Related Agencies Subcommittee Appropriations Bill",https://www.congress.gov/event/117th-congress/house-event/112855,117th,"House of Representatives",2021-07-12T21:00:00Z,"House Appropriations"
"Fiscal Year 2022 Commerce, Justice, Science, and Related Agencies Appropriations Bill",https://www.congress.gov/event/117th-congress/house-event/112888,117th,"House of Representatives",2021-07-12T19:00:00Z,"House Appropriations"
"FY 2022 Energy and Water Development, and Related Agencies Subcommittee Bill",https://www.congress.gov/event/117th-congress/house-event/112882,117th,"House of Representatives",2021-07-12T17:00:00Z,"House Appropriations"
"Fiscal Year 2022 Labor, Health and Human Services, Education, and Related Agencies Subcommittee Appropriations Bill",https://www.congress.gov/event/117th-congress/house-event/112887,117th,"House of Representatives",2021-07-12T15:00:00Z,"House Appropriations"
"FY2022 State, Foreign Operations, and Related Programs and Interior, Environment, and Related Agencies Appropriations Bills",https://www.congress.gov/event/117th-congress/house-event/112878,117th,"House of Representatives",2021-07-01T13:00:00Z,"House Appropriations"
"FY2022 Agriculture, Rural Development, Food and Drug Administration, and Related Agencies and Military Construction, Veterans Affairs, and Related Agencies Appropriations Bills",https://www.congress.gov/event/117th-congress/house-event/112874,117th,"House of Representatives",2021-06-30T17:00:00Z,"House Appropriations"
"Fiscal Year 2022 Homeland Security Subcommittee Appropriations Bill",https://www.congress.gov/event/117th-congress/house-event/112871,117th,"House of Representatives",2021-06-30T15:30:00Z,"House Appropriations"
"Fiscal Year 2022 Defense Subcommittee Appropriations Bill (CLOSED)",https://www.congress.gov/event/117th-congress/house-event/112854,117th,"House of Representatives",2021-06-30T14:00:00Z,"House Appropriations"
"FY2022 Report on the Suballocation of Budget Allocations, Legislative Branch and Financial Services and General Government Appropriations Bills",https://www.congress.gov/event/117th-congress/house-event/112879,117th,"House of Representatives",2021-06-29T15:00:00Z,"House Appropriations"
"Fiscal Year 2022 Department of State, Foreign Operations, and Related Programs Subcommittee Appropriations Bill",https://www.congress.gov/event/117th-congress/house-event/112847,117th,"House of Representatives",2021-06-28T23:30:00Z,"House Appropriations"
"Fiscal Year 2022 Interior, Environment, and Related Agencies Subcommittee Appropriations Bill",https://www.congress.gov/event/117th-congress/house-event/112856,117th,"House of Representatives",2021-06-28T21:30:00Z,"House Appropriations"
"Fiscal Year 2022 Agriculture, Rural Development, Food and Drug Administration, and Related Agencies Subcommittee Appropriations Bill",https://www.congress.gov/event/117th-congress/house-event/112825,117th,"House of Representatives",2021-06-25T15:00:00Z,"House Appropriations"
"Fiscal Year 2022 Military Construction and Veteran's Affairs Subcommittee Appropriations Bill",https://www.congress.gov/event/117th-congress/house-event/112824,117th,"House of Representatives",2021-06-25T13:00:00Z,"House Appropriations"
"Fiscal Year 2022 Legislative Branch Subcommittee Appropriations Bill",https://www.congress.gov/event/117th-congress/house-event/112833,117th,"House of Representatives",2021-06-24T16:00:00Z,"House Appropriations"
"Fiscal Year 2022 Financial Services and General Government  Subcommittee Appropriations Bill",https://www.congress.gov/event/117th-congress/house-event/112820,117th,"House of Representatives",2021-06-24T14:00:00Z,"House Appropriations"
"Department of the Treasury International Programs FY22 Budget Request",https://www.congress.gov/event/117th-congress/house-event/112724,117th,"House of Representatives",2021-06-10T18:00:00Z,"House Appropriations"
"Office of Management and Budget FY22 Budget Request",https://www.congress.gov/event/117th-congress/house-event/112738,117th,"House of Representatives",2021-06-09T19:00:00Z,"House Appropriations"
"Member Day",https://www.congress.gov/event/117th-congress/house-event/112701,117th,"House of Representatives",2021-06-09T14:00:00Z,"House Appropriations"
